school number,District,campus,district2,latitude,longitude,address,grade_span,school_type,feeder
'057905136,'057905,L O DONALD EL,DALLAS ISD,32.7325096,-96.8864517,"1218 Phinney Ave, Dallas, TX 75211",'PK - 05,E,JUSTIN F KIMBALL HIGH SCHOOL
'057905239,'057905,ARTURO SALAZAR EL,DALLAS ISD,32.7328186,-96.8680267,"1120 S Ravinia Dr, Dallas, TX 75211",'PK - 05,E,MOISES E MOLINA H S
'057905186,'057905,ROGER Q MILLS EL,DALLAS ISD,32.7328758,-96.8023224,"1515 Lynn Haven Ave, Dallas, TX 75216",'PK - 05,E,FRANKLIN D ROOSEVELT HIGH SCHOOL
'057905234,'057905,HENRY B GONZALEZ EL,DALLAS ISD,32.7342354,-96.7063279,"6610 Lake June Rd, Dallas, TX 75217",'PK - 05,E,H GRADY SPRUCE H S
'057905229,'057905,WINNETKA EL SCHOOL,DALLAS ISD,32.7343941,-96.8451767,"1151 S Edgefield Ave, Dallas, TX 75208",'PK - 05,E,SUNSET HIGH SCHOOL
'057905101,'057905,JOHN Q ADAMS EL,DALLAS ISD,32.7351151,-96.6797867,"8239 Lake June Rd, Dallas, TX 75217",'PK - 05,E,W W SAMUELL H S
'057905236,'057905,NANCY J COCHRAN EL,DALLAS ISD,32.7354851,-96.925209,"6000 Keeneland Pkwy, Dallas, TX 75211",'EE - 05,E,MOISES E MOLINA H S
'057905287,'057905,CELESTINO MAURICIO SOTO JR EL,DALLAS ISD,32.7359238,-96.8951416,"4510 W Jefferson Blvd, Dallas, TX 75211",'PK - 05,E,MOISES E MOLINA H S
'057905163,'057905,ALBERT SIDNEY JOHNSTON ELEMENTARY SCHOOL,DALLAS ISD,32.737465,-96.792953,"2020 Mouser St, Dallas, TX 75203",'EE - 05,E,FRANKLIN D ROOSEVELT HIGH SCHOOL
'057905192,'057905,JOHN F PEELER EL,DALLAS ISD,32.73806,-96.8311768,"810 S Llewellyn Ave, Dallas, TX 75208",'EE - 05,E,W H ADAMSON HIGH SCHOOL
'057905273,'057905,PLEASANT GROVE ELEMENTARY SCHOOL,DALLAS ISD,32.7384644,-96.6556625,"1614 N St Augustine Dr, Dallas, TX 75217",'PK - 05,E,W W SAMUELL H S
'057905161,'057905,JOHN IRELAND EL,DALLAS ISD,32.7395477,-96.7014008,"1515 N Jim Miller Rd, Dallas, TX 75217",'PK - 05,E,W W SAMUELL H S
'057905049,'057905,W E GREINER EXPLORATORY ARTS ACADEMY,DALLAS ISD,32.739975,-96.844948,"501 S Edgefield Ave, Dallas, TX 75208",'06 - 08,M,SUNSET HIGH SCHOOL
'057905237,'057905,JOHN W RUNYON EL,DALLAS ISD,32.7404404,-96.6410446,"10750 Cradlerock Dr, Dallas, TX 75217",'PK - 05,E,W W SAMUELL H S
'057905158,'057905,LIDA HOOE EL,DALLAS ISD,32.7407608,-96.8579865,"2419 Gladstone Dr, Dallas, TX 75211",'PK - 05,E,SUNSET HIGH SCHOOL
'057905046,'057905,FRED F FLORENCE MIDDLE,DALLAS ISD,32.741497,-96.650177,"1625 N Masters Dr, Dallas, TX 75217",'06 - 08,M,W W SAMUELL H S
'057905156,'057905,NATHANIEL HAWTHORNE EL,DALLAS ISD,32.7421265,-96.6888351,"7800 Umphress Rd, Dallas, TX 75217",'EE - 05,E,W W SAMUELL H S
'057905013,'057905,FRANKLIN D ROOSEVELT H S,DALLAS ISD,32.7422867,-96.7968826,"525 Bonnie View Rd, Dallas, TX 75203",'09 - 12,S,#N/A
'057905190,'057905,GEORGE PEABODY EL,DALLAS ISD,32.7428627,-96.8724594,"3101 Raydell Pl, Dallas, TX 75211",'PK - 05,E,SUNSET HIGH SCHOOL
'057905164,'057905,ANSON JONES EL,DALLAS ISD,32.7429237,-96.884552,"3901 Meredith Ave, Dallas, TX 75211",'EE - 05,E,SUNSET HIGH SCHOOL
'057905289,'057905,FELIX G BOTELLO EL,DALLAS ISD,32.7455368,-96.8169022,"225 S Marsalis Ave, Dallas, TX 75203",'PK - 05,E,W H ADAMSON HIGH SCHOOL
'057905018,'057905,SUNSET H S,DALLAS ISD,32.74617,-96.854355,"2120 W Jefferson Blvd, Dallas, TX 75208",'09 - 12,S,#N/A
'057905197,'057905,JOHN H REAGAN ELEMENTARY SCHOOL,DALLAS ISD,32.7468338,-96.8311462,"201 N Adams Ave, Dallas, TX 75208",'EE - 05,E,W H ADAMSON HIGH SCHOOL
'057905014,'057905,W W SAMUELL H S,DALLAS ISD,32.7471046,-96.6677246,"8928 Palisade Dr, Dallas, TX 75217",'09 - 12,S,#N/A
'057905002,'057905,W H ADAMSON H S,DALLAS ISD,32.7476463,-96.821991,"201 E 9th St, Dallas, TX 75203",'09 - 12,S,#N/A
'057905077,'057905,HECTOR P GARCIA MIDDLE SCHOOL,DALLAS ISD,32.749855,-96.8138504,"700 E 8th St, Dallas, TX 75203",'06 - 08,M,W H ADAMSON HIGH SCHOOL
'057905275,'057905,LOUISE WOLFF KAHN EL,DALLAS ISD,32.7513046,-96.8598404,"610 N Franklin St, Dallas, TX 75211",'PK - 05,E,SUNSET HIGH SCHOOL
'057905204,'057905,ROSEMONT ELEMENTARY SCHOOL,DALLAS ISD,32.7516708,-96.8473511,"719 N Montclair Ave, Dallas, TX 75208",'03 - 05,E,SUNSET HIGH SCHOOL
'057905359,'057905,ROSEMONT MIDDLE,DALLAS ISD,32.7516708,-96.8473511,"719 N Montclair Ave, Dallas, TX 75208",'06 - 07,M,SUNSET HIGH SCHOOL
'057905110,'057905,ANNIE WEBB BLANTON EL,DALLAS ISD,32.751904,-96.668694,"8915 Greenmound Ave, Dallas, TX 75227",'EE - 05,E,W W SAMUELL H S
'057905112,'057905,JAMES BOWIE EL,DALLAS ISD,32.752243,-96.8148575,"330 N Marsalis Ave, Dallas, TX 75203",'EE - 05,E,W H ADAMSON HIGH SCHOOL
'057905288,'057905,ROSEMONT PRI SCHOOL-CHRIS V SEMOS CAMPUS,DALLAS ISD,32.7526817,-96.8497543,"1919 Stevens Forest Dr, Dallas, TX 75208",'EE - 02,E,#N/A
'057905038,'057905,JUDGE BAREFOOT SANDERS LAW MAGNET,DALLAS ISD,32.7528915,-96.8070679,"1201 E 8th St, Dallas, TX 75203",'09 - 12,S,#N/A
'057905037,'057905,ROSIE SORRELLS EDUCATION AND SOCIAL SERVICES H S,DALLAS ISD,32.7528915,-96.8070679,"1201 E 8th St, Dallas, TX 75203",'09 - 12,S,#N/A
'057905033,'057905,SCHOOL OF BUSINESS AND MANAGEMENT,DALLAS ISD,32.7528915,-96.8070679,"1201 E 8th St, Dallas, TX 75203",'09 - 12,S,#N/A
'057905039,'057905,SCHOOL FOR THE TALENTED AND GIFTED,DALLAS ISD,32.7528915,-96.8070679,"1201 E 8th St, Dallas, TX 75203",'09 - 12,S,#N/A
'057905026,'057905,SCHOOL OF SCIENCE AND ENGINEERING,DALLAS ISD,32.752892,-96.807068,"1201 E 8th St, Dallas, TX 75203",'09 - 12,S,#N/A
'057905216,'057905,EDWARD TITCHE EL,DALLAS ISD,32.7547607,-96.6585617,"9560 Highfield Dr, Dallas, TX 75227",'PK - 05,E,W W SAMUELL H S
'057905009,'057905,LINCOLN HUMANITIES/COMMUNICATIONS MAGNET HIGH SCH,DALLAS ISD,32.7564659,-96.7518845,"2826 Hatcher St, Dallas, TX 75215",'09 - 12,S,#N/A
