school number,District,campus,district2,latitude,longitude,address,grade_span,school_type,feeder
'057905147,'057905,CHARLES A GILL EL,DALLAS ISD,32.8442078,-96.6607208,"10910 Ferguson Rd, Dallas, TX 75228",'EE - 05,E,BRYAN ADAMS HIGH SCHOOL
'057905125,'057905,CASA VIEW EL,DALLAS ISD,32.8456841,-96.6753769,"2100 N Farola Dr, Dallas, TX 75228",'EE - 05,E,BRYAN ADAMS HIGH SCHOOL
'057905073,'057905,HENRY W LONGFELLOW CAREER EXPLORATION ACADEMY,DALLAS ISD,32.8482933,-96.8201675,"5314 Boaz St, Dallas, TX 75209",'06 - 08,M,Magnet
'057905153,'057905,VICTOR H HEXTER EL,DALLAS ISD,32.849232,-96.709579,"9720 Waterview Rd, Dallas, TX 75218",'PK - 05,E,BRYAN ADAMS HIGH SCHOOL
'057905203,'057905,DAN D ROGERS EL,DALLAS ISD,32.8520508,-96.7516861,"5314 Abrams Rd, Dallas, TX 75214",'EE - 05,E,HILLCREST H S
'057905228,'057905,SUDIE L WILLIAMS ELEMENTARY SCHOOL,DALLAS ISD,32.8549576,-96.8312378,"4518 Pomona Rd, Dallas, TX 75209",'PK - 05,E,THOMAS JEFFERSON H S
'057905050,'057905,ROBERT T HILL MIDDLE,DALLAS ISD,32.8554459,-96.7041626,"505 Easton Rd, Dallas, TX 75218",'06 - 08,M,BRYAN ADAMS HIGH SCHOOL
'057905159,'057905,L L HOTCHKISS EL,DALLAS ISD,32.8586617,-96.7404938,"6929 Town North Dr, Dallas, TX 75231",'PK - 05,E,EMMETT J CONRAD H S
'057905271,'057905,JULIAN T SALDIVAR ELEMENTARY SCHOOL,DALLAS ISD,32.8649559,-96.8730011,"9510 Brockbank Dr, Dallas, TX 75220",'PK - 05,E,THOMAS JEFFERSON H S
'057905141,'057905,JILL STONE EL AT VICKERY MEADOW,DALLAS ISD,32.865509,-96.7494965,"6606 Ridgecrest Rd, Dallas, TX 75231",'PK - 05,E,EMMETT J CONRAD H S
'057905145,'057905,STEPHEN C FOSTER EL,DALLAS ISD,32.869976,-96.8544998,"3700 Clover Ln, Dallas, TX 75220",'EE - 05,E,THOMAS JEFFERSON H S
'057905284,'057905,HIGHLAND MEADOWS EL,DALLAS ISD,32.87059,-96.687859,"8939 Whitewing Ln, Dallas, TX 75238",'EE - 05,E,EMMETT J CONRAD H S
'057905083,'057905,SAM TASBY MIDDLE,DALLAS ISD,32.8729172,-96.7600098,"7001 Fair Oaks Ave, Dallas, TX 75231",'06 - 08,M,EMMETT J CONRAD H S
'057905176,'057905,JACK LOWE SR EL,DALLAS ISD,32.8730719,-96.7620112,"7000 Holly Hill Dr, Dallas, TX 75231",'EE - 05,E,EMMETT J CONRAD H S
'057905079,'057905,FRANCISCO MEDRANO MIDDLE,DALLAS ISD,32.8733902,-96.8763962,"9815 Brockbank Dr, Dallas, TX 75220",'06 - 08,M,THOMAS JEFFERSON H S
'057905028,'057905,EMMETT J CONRAD H S,DALLAS ISD,32.8763809,-96.7519073,"7502 Fair Oaks Ave, Dallas, TX 75231",'09 - 12,S,#N/A
'057905116,'057905,DAVID G BURNET EL,DALLAS ISD,32.8764572,-96.869194,"3200 Kinkaid Dr, Dallas, TX 75220",'PK - 05,E,THOMAS JEFFERSON H S
'057905278,'057905,LEONIDES GONZALEZ CIGARROA MD EL,DALLAS ISD,32.8800278,-96.8647766,"9990 Webb Chapel Rd, Dallas, TX 75220",'PK - 05,E,THOMAS JEFFERSON H S
'057905195,'057905,PRESTON HOLLOW EL,DALLAS ISD,32.8805962,-96.794838,"6423 Walnut Hill Ln, Dallas, TX 75230",'PK - 05,E,HILLCREST H S
'057905007,'057905,THOMAS JEFFERSON H S,DALLAS ISD,32.8819046,-96.8449478,"4001 Walnut Hill Ln, Dallas, TX 75229",'09 - 12,S,#N/A
'057905224,'057905,WALNUT HILL EL,DALLAS ISD,32.8828697,-96.839592,"10115 Midway Rd, Dallas, TX 75229",'PK - 05,E,THOMAS JEFFERSON H S
'057905006,'057905,HILLCREST H S,DALLAS ISD,32.8831825,-96.7846222,"9924 Hillcrest Rd, Dallas, TX 75230",'09 - 12,S,#N/A
'057905047,'057905,BENJAMIN FRANKLIN MIDDLE,DALLAS ISD,32.885571,-96.784546,"6920 Meadow Rd, Dallas, TX 75230",'06 - 08,M,HILLCREST H S
'057905193,'057905,JOHN J PERSHING EL,DALLAS ISD,32.8875961,-96.8098297,"5715 Meaders Ln, Dallas, TX 75229",'EE - 05,E,HILLCREST H S
'057905286,'057905,LEE A MCSHAN JR EL,DALLAS ISD,32.8881874,-96.7610779,"8307 Meadow Rd, Dallas, TX 75231",'EE - 05,E,EMMETT J CONRAD H S
'057905120,'057905,F P CAILLET EL,DALLAS ISD,32.8887291,-96.8745041,"3033 Merrell Rd, Dallas, TX 75229",'EE - 05,E,W T WHITE HIGH SCHOOL
'057905075,'057905,GEORGE BANNERMAN DEALEY INTERNATIONAL ACADEMY,DALLAS ISD,32.8957558,-96.7917862,"6501 Royal Ln, Dallas, TX 75230",'07 - 08,M,Magnet
'057905134,'057905,GEORGE BANNERMAN DEALEY MONTESSORI VANGUARD,DALLAS ISD,32.8957558,-96.7917862,"6501 Royal Ln, Dallas, TX 75230",'PK - 06,E,Magnet
'057905144,'057905,TOM W FIELD EL,DALLAS ISD,32.8964386,-96.905983,"2151 Royal Ln, Dallas, TX 75229",'PK - 05,E,THOMAS JEFFERSON H S
'057905169,'057905,ARTHUR KRAMER EL SCHOOL,DALLAS ISD,32.9022179,-96.7832718,"7131 Midbury Dr, Dallas, TX 75230",'PK - 05,E,HILLCREST H S
'057905230,'057905,HARRY C WITHERS EL,DALLAS ISD,32.903244,-96.845901,"3959 Northaven Rd, Dallas, TX 75229",'EE - 05,E,W T WHITE HIGH SCHOOL
'057905182,'057905,HERBERT MARCUS EL,DALLAS ISD,32.9046364,-96.8793793,"2911 Northaven Rd, Dallas, TX 75229",'PK - 05,E,W T WHITE HIGH SCHOOL
'057905054,'057905,THOMAS C MARSH MIDDLE,DALLAS ISD,32.911335,-96.8501053,"3838 Crown Shore Dr, Dallas, TX 75244",'06 - 08,M,W T WHITE HIGH SCHOOL
'057905021,'057905,W T WHITE H S,DALLAS ISD,32.9168587,-96.8316727,"4505 Ridgeside Dr, Dallas, TX 75244",'09 - 12,S,#N/A
'057905148,'057905,TOM C GOOCH EL,DALLAS ISD,32.9170189,-96.8451996,"4030 Calculus Rd, Dallas, TX 75244",'PK - 05,E,W T WHITE HIGH SCHOOL
'057905056,'057905,EWELL D WALKER MIDDLE,DALLAS ISD,32.9193916,-96.809845,"12532 Nuestra Dr, Dallas, TX 75230",'06 - 08,M,W T WHITE HIGH SCHOOL
'057905233,'057905,NATHAN ADAMS EL,DALLAS ISD,32.9215971,-96.8294352,"12600 S Welch Rd, Dallas, TX 75244",'PK - 05,E,W T WHITE HIGH SCHOOL
'057905119,'057905,WILLIAM L CABELL EL,DALLAS ISD,32.9220657,-96.8650513,"12701 Templeton Trail, Dallas, TX 75234",'PK - 05,E,W T WHITE HIGH SCHOOL
'057905304,'057905,GEORGE HERBERT WALKER BUSH EL,DALLAS ISD,32.9399856,-96.8486928,"3939 Spring Valley Rd, Addison, TX 75001",'EE - 05,E,W T WHITE HIGH SCHOOL
'057905280,'057905,ANNE FRANK EL,DALLAS ISD,32.9477577,-96.8179245,"5201 Celestial Rd, Dallas, TX 75254",'EE - 05,E,HILLCREST H S
'057905279,'057905,JERRY R JUNKINS EL,DALLAS ISD,32.973774,-96.8569489,"2808 Running Duke Dr, Carrollton, TX 75006",'EE - 05,E,W T WHITE HIGH SCHOOL
'057905036,'057905,SCHOOL OF HEALTH PROFESSIONS,DALLAS ISD,32.752452,-96.806708,"1201 E EIGHTH ST, DALLAS, TX, 75203-2545",'09 - 12,S,#N/A
'057905205,'057905,CLINTON P RUSSELL EL,DALLAS ISD,32.708779,-96.823906,"3031 S BECKLEY AVE, DALLAS, TX, 75224-3501",'PK - 05,E,SOUTH OAK CLIFF H S
'057905044,'057905,EDWARD H CARY MIDDLE,DALLAS ISD,32.883191,-96.847778,"3978 KILLION DR, DALLAS, TX, 75229-6124",'06 - 08,M,THOMAS JEFFERSON H S
'057905135,'057905,EVERETTE LEE DEGOLYER EL,DALLAS ISD,32.903839,-96.860878,"3453 FLAIR DR, DALLAS, TX, 75229-2603",'PK - 05,E,W T WHITE HIGH SCHOOL
'057905240,'057905,FRANK GUZICK EL,DALLAS ISD,32.784965,-96.69192,"5000 BERRIDGE LN, DALLAS, TX, 75227",'EE - 05,E,SKYLINE HIGH SCHOOL
'057905198,'057905,MARTHA TURNER REILLY EL,DALLAS ISD,32.855373,-96.688208,"11230 LIPPITT AVE, DALLAS, TX, 75218-1952",'PK - 05,E,BRYAN ADAMS HIGH SCHOOL
'057905170,'057905,RICHARD LAGOW EL,DALLAS ISD,32.70245,-96.636398,"637 EDGEWORTH DR, DALLAS, TX, 75217-8108",'PK - 05,E,H GRADY SPRUCE H S
'057905303,'057905,THELMA ELIZABETH PAGE RICHARDSON EL,DALLAS ISD,32.750846,-96.695085,"7203 BURTON RD, DALLAS, TX, 75217",'PK - 05,E,#N/A
'057905055,'057905,THOMAS J RUSK MIDDLE,DALLAS ISD,32.824977,-96.833487,"2929 INWOOD RD, DALLAS, TX, 75235-7517",'06 - 08,M,NORTH DALLAS HIGH SCHOOL
'057905185,'057905,WILLIAM B MILLER ELEMENTARY SCHOOL,DALLAS ISD,32.718961,-96.780283,"3111 BONNIE VIEW RD, DALLAS, TX, 75216-3494",'PK - 05,E,FRANKLIN D ROOSEVELT HIGH SCHOOL
'057905042,'057905,WILLIAM HAWLEY ATWELL LAW ACADEMY,DALLAS ISD,32.676942,-96.843229,"1303 REYNOLDSTON LN, DALLAS, TX, 75232-2409",'06 - 08,M,DAVID W CARTER HIGH SCHOOL
'057905100,'057905,ZAN WESLEY HOLMES JR MIDDLE,DALLAS ISD,32.711739,-96.866457,"2939 ST RITA DR, DALLAS, TX, 75233",'06 - 08,M,JUSTIN F KIMBALL HIGH SCHOOL
